### STARTED NEW RUN: 1455285411
1455285543;NY5;2.5;1;0;0;0;0;130.225.237.110
1455285645;NY7;2.5;1;0;0;0;0;130.225.237.110
1455285664;GL2;15;6;0;0;0;0;130.225.237.110
1455285687;NY7;7.5;3;0;0;0;0;130.225.237.186
1455285702;ML8;7.5;3;0;0;0;0;130.225.237.110
1455285725;GL3;7.5;3;0;0;0;0;130.225.237.186
1455285731;ML8;7.5;3;0;0;0;0;130.225.237.110
1455285742;NY7;7.5;3;0;0;0;0;130.225.237.110
1455285748;GL1;7.5;3;0;0;0;0;130.225.237.110
1455285756;NY7;2.5;1;0;0;0;0;130.225.237.110
1455285795;GL1;2.5;1;0;0;0;0;130.225.237.110
1455285800;GL3;2.5;1;0;0;0;0;130.225.237.186
1455285834;NY5;2.5;1;0;0;0;0;130.225.237.110
1455285838;NY5;0.5;0;0;0;1;0;130.225.237.110
1455285845;ML7;3.5;1;0;0;0;1;130.225.237.110
1455285867;NY7;7.5;3;0;0;0;0;130.225.237.110
1455285877;NY7;7.5;3;0;0;0;0;130.225.237.186
1455285881;GL6;5;2;0;0;0;0;130.225.237.110
1455285887;NY3;7.5;3;0;0;0;0;130.225.237.110
1455285908;ML4;7.5;3;0;0;0;0;130.225.237.110
1455285932;ML4;2.5;1;0;0;0;0;130.225.237.110
1455285942;NY7;7;1;0;3;0;0;130.225.237.110
1455285949;GL3;5;2;0;0;0;0;130.225.237.110
1455285967;NY7;9;0;0;6;0;0;130.225.237.186
1455286006;NY7;2.5;1;0;0;0;0;130.225.237.110
1455286022;GL1;2.5;1;0;0;0;0;130.225.237.110
1455286031;NY7;2.5;1;0;0;0;0;130.225.237.186
1455286139;GL3;7.5;3;0;0;0;0;130.225.237.186
1455286211;GL4;2.5;1;0;0;0;0;130.225.237.186
1455286218;GL1;7.5;3;0;0;0;0;130.225.237.110
1455286230;GL5;7.5;3;0;0;0;0;130.225.237.110
1455286236;GL4;7.5;3;0;0;0;0;130.225.237.110
1455286289;GL8;2;0;1;0;0;0;130.225.237.110
1455286307;GL4;5;2;0;0;0;0;130.225.237.186
1455286311;GL8;2;0;1;0;0;0;130.225.237.110
1455286364;GL1;2.5;1;0;0;0;0;130.225.237.110
1455286382;NY5;7.5;3;0;0;0;0;130.225.237.110
1455286387;NY5;4.5;0;0;3;0;0;130.225.237.110
1455286397;GL5;7.5;3;0;0;0;0;130.225.237.110
1455286475;NY5;7.5;3;0;0;0;0;130.225.237.110
1455286508;NY5;7.5;3;0;0;0;0;130.225.237.110
1455286568;NY7;7.5;3;0;0;0;0;130.225.237.186
1455286606;GL8;2;0;1;0;0;0;130.225.237.186
1455286662;GL3;7.5;3;0;0;0;0;130.225.237.110
1455286770;ML8;2.5;1;0;0;0;0;130.225.237.110
1455286823;GL3;7.5;3;0;0;0;0;130.225.237.110
1455286896;ML2;7.5;3;0;0;0;0;130.225.237.110
1455286910;ML3;10;4;0;0;0;0;130.225.237.186
1455286949;ML2;2.5;1;0;0;0;0;130.225.237.110
1455286960;ML3;5;2;0;0;0;0;130.225.237.186
1455287001;ML2;7.5;3;0;0;0;0;130.225.237.110
1455287175;ML2;2.5;1;0;0;0;0;130.225.237.110
1455287196;NY7;7.5;3;0;0;0;0;130.225.237.110
1455287250;GL3;7.5;3;0;0;0;0;130.225.237.110
1455287259;ML3;5;2;0;0;0;0;130.225.237.110
1455287263;ML4;2.5;1;0;0;0;0;130.225.237.110
1455287316;ML4;7.5;3;0;0;0;0;130.225.237.110
1455287320;ML7;3.5;1;0;0;0;1;130.225.237.110
1455287324;NY7;3.5;1;0;0;0;1;130.225.237.110
1455287330;GL3;2.5;1;0;0;0;0;130.225.237.110
1455287340;NY8;2;0;1;0;0;0;130.225.237.186
1455287345;GL8;2;0;1;0;0;0;130.225.237.186
1455287372;ML6;2.5;1;0;0;0;0;130.225.237.110
1455287386;ML7;12.5;5;0;0;0;0;130.225.237.110
1455287490;GL2;14.5;1;0;8;0;0;130.225.237.186
1455287512;GL2;2.5;1;0;0;0;0;130.225.237.186
1455287523;GL3;7.5;3;0;0;0;0;130.225.237.110
1455287528;ML8;7.5;3;0;0;0;0;130.225.237.110
1455287552;NY7;10.5;3;0;2;0;0;130.225.237.186
1455287586;NY3;7.5;3;0;0;0;0;130.225.237.110
1455287651;GL3;7.5;3;0;0;0;0;130.225.237.110
1455287654;GL4;15;6;0;0;0;0;130.225.237.186
1455287658;GL1;7.5;3;0;0;0;0;130.225.237.186
1455287746;GL1;15;6;0;0;0;0;130.225.237.110
1455287752;GL5;2.5;1;0;0;0;0;130.225.237.186
1455287772;GL1;22.5;9;0;0;0;0;130.225.237.186
1455287780;NY5;2.5;1;0;0;0;0;130.225.237.186
1455287829;NY5;2.5;1;0;0;0;0;130.225.237.110
1455287854;NY5;2.5;1;0;0;0;0;130.225.237.110
1455287914;GL1;30;12;0;0;0;0;130.225.237.186
1455287921;GL3;7.5;3;0;0;0;0;130.225.237.110
1455287943;GL6;2.5;1;0;0;0;0;130.225.237.186
1455287996;NY7;2.5;1;0;0;0;0;130.225.237.110
1455288008;GL6;2.5;1;0;0;0;0;130.225.237.186
1455288023;GL6;5;2;0;0;0;0;130.225.237.186
1455288069;ML2;7.5;3;0;0;0;0;130.225.237.110
1455288084;ML4;5;2;0;0;0;0;130.225.237.110
1455288090;GL6;7.5;3;0;0;0;0;130.225.237.186
1455288107;NY7;7.5;3;0;0;0;0;130.225.237.186
1455288108;NY5;5;2;0;0;0;0;130.225.237.110
1455288163;NY7;2.5;1;0;0;0;0;130.225.237.186
